datecurrent,fireyear,incidentname,perimeterdatetime,gisacres,lat,lon,geometry,index_right,NAME,fire_date,year,month,lon_adj,date,temp_month,precip_month
2011-11-03 00:00:00,2011,Divide Creek,2011-07-04 15:18:00,10.93295945,40.20535393268739,-108.54464441544833,POINT (-108.54464441544833 40.20535393268739),297,Rio Blanco County,2011-07-04 15:18:00,2011,7,251.45535558455168,2011-07-04 15:18:00,74.82541015625004,0.029189306065044367
2017-12-06 00:00:00,2017,Divide Creek,2017-06-05 00:00:00,20.53282599,39.51837225658876,-107.60767542931174,POINT (-107.60767542931174 39.51837225658876),268,Garfield County,2017-06-05 00:00:00,2017,6,252.39232457068826,2017-06-05 00:00:00,70.19533203125005,0.003763041946500016
2011-08-29 00:00:00,2011,Doe Canyon,2011-08-26 18:00:00,78.92803784,37.73106576075647,-108.70139225190621,POINT (-108.70139225190621 37.73106576075647),262,Dolores County,2011-08-26 18:00:00,2011,8,251.2986077480938,2011-08-26 18:00:00,69.21271484375004,0.05228332258523442
2015-12-14 00:00:00,2015,Dog Canyon,2015-08-15 00:00:00,43.52664066,39.15501946987052,-108.9775392982543,POINT (-108.9775392982543 39.15501946987052),284,Mesa County,2015-08-15 00:00:00,2015,8,251.0224607017457,2015-08-15 00:00:00,76.76208007812505,0.019866505395132118
2010-09-15 00:00:00,2008,Dolores,2008-09-15 14:21:00,22.33415057,38.9243390760915,-108.88037686682169,POINT (-108.88037686682169 38.9243390760915),284,Mesa County,2008-09-15 14:21:00,2008,9,251.11962313317832,2008-09-15 14:21:00,57.15192382812504,0.029774925866152626
2011-05-31 00:00:00,2008,Dominguez,2008-06-30 00:00:00,95.00689572,38.8350630754955,-108.28429934180616,POINT (-108.28429934180616 38.8350630754955),260,Delta County,2008-06-30 00:00:00,2008,6,251.71570065819384,2008-06-30 00:00:00,70.49020507812504,0.017417714653076836
2010-09-15 00:00:00,2009,Dominguez,2009-07-20 00:00:00,2598.19740955,38.726646896098686,-108.58629385714359,POINT (-108.58629385714359 38.726646896098686),284,Mesa County,2009-07-20 00:00:00,2009,7,251.41370614285643,2009-07-20 00:00:00,67.74977539062505,0.041773506653495135
2010-09-15 00:00:00,2003,Dotsero Crater,2003-07-11 00:00:00,1232.34085,39.66927524909967,-107.00945904712079,POINT (-107.00945904712079 39.66927524909967),264,Eagle County,2003-07-11 00:00:00,2003,7,252.9905409528792,2003-07-11 00:00:00,72.60485351562505,0.029427909479191293
2010-10-14 00:00:00,2009,Doug,2009-08-16 00:00:00,19.79826441,39.84788087090959,-108.73392615763227,POINT (-108.73392615763227 39.84788087090959),297,Rio Blanco County,2009-08-16 00:00:00,2009,8,251.26607384236775,2009-08-16 00:00:00,68.33029296875004,0.014256516756105703
2010-10-13 00:00:00,2006,Douglas Creek,2006-06-18 10:50:00,16.25348269,39.68546185321972,-108.79523523808302,POINT (-108.79523523808302 39.68546185321972),297,Rio Blanco County,2006-06-18 10:50:00,2006,6,251.20476476191698,2006-06-18 10:50:00,69.09933593750004,0.01896270722282934
